[2026-04-03T01:01:57.961+0600][2.033s][info][gc          ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 151M->28M(248M) 21.668ms
[2026-04-03T01:01:57.961+0600][2.033s][info][gc,cpu      ] GC(3) User=0.10s Sys=0.02s Real=0.02s
[2026-04-03T01:01:58.178+0600][2.249s][info][gc,start    ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T01:01:58.178+0600][2.249s][info][gc,task     ] GC(4) Using 5 workers of 10 for evacuation
[2026-04-03T01:01:58.201+0600][2.272s][info][gc,phases   ] GC(4)   Pre Evacuate Collection Set: 0.25ms
[2026-04-03T01:01:58.201+0600][2.272s][info][gc,phases   ] GC(4)   Merge Heap Roots: 0.14ms
[2026-04-03T01:01:58.201+0600][2.272s][info][gc,phases   ] GC(4)   Evacuate Collection Set: 21.23ms
[2026-04-03T01:01:58.201+0600][2.272s][info][gc,phases   ] GC(4)   Post Evacuate Collection Set: 0.89ms
[2026-04-03T01:01:58.201+0600][2.272s][info][gc,phases   ] GC(4)   Other: 0.14ms
[2026-04-03T01:01:58.201+0600][2.272s][info][gc,heap     ] GC(4) Eden regions: 63->0(63)
[2026-04-03T01:01:58.201+0600][2.272s][info][gc,heap     ] GC(4) Survivor regions: 10->10(10)
[2026-04-03T01:01:58.201+0600][2.272s][info][gc,heap     ] GC(4) Old regions: 5->10
[2026-04-03T01:01:58.201+0600][2.272s][info][gc,heap     ] GC(4) Humongous regions: 0->0
[2026-04-03T01:01:58.201+0600][2.272s][info][gc,metaspace] GC(4) Metaspace: 8783K(9024K)->8783K(9024K) NonClass: 7939K(8064K)->7939K(8064K) Class: 843K(960K)->843K(960K)
[2026-04-03T01:01:58.201+0600][2.272s][info][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 154M->37M(248M) 23.018ms
[2026-04-03T01:01:58.201+0600][2.272s][info][gc,cpu      ] GC(4) User=0.10s Sys=0.01s Real=0.03s
[2026-04-03T01:01:58.395+0600][2.467s][info][gc,start    ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T01:01:58.395+0600][2.467s][info][gc,task     ] GC(5) Using 5 workers of 10 for evacuation
[2026-04-03T01:01:58.416+0600][2.487s][info][gc,phases   ] GC(5)   Pre Evacuate Collection Set: 0.34ms
[2026-04-03T01:01:58.416+0600][2.487s][info][gc,phases   ] GC(5)   Merge Heap Roots: 0.21ms
[2026-04-03T01:01:58.416+0600][2.487s][info][gc,phases   ] GC(5)   Evacuate Collection Set: 17.85ms
[2026-04-03T01:01:58.416+0600][2.487s][info][gc,phases   ] GC(5)   Post Evacuate Collection Set: 1.67ms
[2026-04-03T01:01:58.416+0600][2.487s][info][gc,phases   ] GC(5)   Other: 0.12ms
[2026-04-03T01:01:58.416+0600][2.487s][info][gc,heap     ] GC(5) Eden regions: 63->0(108)
[2026-04-03T01:01:58.416+0600][2.487s][info][gc,heap     ] GC(5) Survivor regions: 10->10(10)
[2026-04-03T01:01:58.416+0600][2.487s][info][gc,heap     ] GC(5) Old regions: 10->15
[2026-04-03T01:01:58.416+0600][2.487s][info][gc,heap     ] GC(5) Humongous regions: 0->0
[2026-04-03T01:01:58.416+0600][2.487s][info][gc,metaspace] GC(5) Metaspace: 8784K(9024K)->8784K(9024K) NonClass: 7941K(8064K)->7941K(8064K) Class: 843K(960K)->843K(960K)
[2026-04-03T01:01:58.416+0600][2.487s][info][gc          ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 163M->47M(394M) 20.453ms
[2026-04-03T01:01:58.416+0600][2.487s][info][gc,cpu      ] GC(5) User=0.09s Sys=0.00s Real=0.02s
[2026-04-03T01:01:58.808+0600][2.879s][info][gc,start    ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T01:01:58.808+0600][2.880s][info][gc,task     ] GC(6) Using 9 workers of 10 for evacuation
[2026-04-03T01:01:58.826+0600][2.897s][info][gc,phases   ] GC(6)   Pre Evacuate Collection Set: 0.35ms
[2026-04-03T01:01:58.826+0600][2.897s][info][gc,phases   ] GC(6)   Merge Heap Roots: 0.08ms
[2026-04-03T01:01:58.826+0600][2.897s][info][gc,phases   ] GC(6)   Evacuate Collection Set: 16.08ms
[2026-04-03T01:01:58.826+0600][2.897s][info][gc,phases   ] GC(6)   Post Evacuate Collection Set: 0.63ms
[2026-04-03T01:01:58.826+0600][2.897s][info][gc,phases   ] GC(6)   Other: 1.07ms
[2026-04-03T01:01:58.826+0600][2.897s][info][gc,heap     ] GC(6) Eden regions: 108->0(104)
[2026-04-03T01:01:58.826+0600][2.897s][info][gc,heap     ] GC(6) Survivor regions: 10->14(15)
[2026-04-03T01:01:58.826+0600][2.897s][info][gc,heap     ] GC(6) Old regions: 15->20
[2026-04-03T01:01:58.826+0600][2.897s][info][gc,heap     ] GC(6) Humongous regions: 0->0
[2026-04-03T01:01:58.826+0600][2.897s][info][gc,metaspace] GC(6) Metaspace: 8788K(9024K)->8788K(9024K) NonClass: 7944K(8064K)->7944K(8064K) Class: 843K(960K)->843K(960K)
[2026-04-03T01:01:58.826+0600][2.897s][info][gc          ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 263M->65M(394M) 18.502ms
[2026-04-03T01:01:58.826+0600][2.897s][info][gc,cpu      ] GC(6) User=0.14s Sys=0.01s Real=0.02s
[2026-04-03T01:01:59.066+0600][3.137s][info][gc,start    ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T01:01:59.066+0600][3.137s][info][gc,task     ] GC(7) Using 9 workers of 10 for evacuation
[2026-04-03T01:01:59.087+0600][3.158s][info][gc,phases   ] GC(7)   Pre Evacuate Collection Set: 0.31ms
[2026-04-03T01:01:59.087+0600][3.159s][info][gc,phases   ] GC(7)   Merge Heap Roots: 0.09ms
[2026-04-03T01:01:59.087+0600][3.159s][info][gc,phases   ] GC(7)   Evacuate Collection Set: 19.61ms
[2026-04-03T01:01:59.087+0600][3.159s][info][gc,phases   ] GC(7)   Post Evacuate Collection Set: 0.76ms
[2026-04-03T01:01:59.087+0600][3.159s][info][gc,phases   ] GC(7)   Other: 0.18ms
[2026-04-03T01:01:59.087+0600][3.159s][info][gc,heap     ] GC(7) Eden regions: 104->0(109)
[2026-04-03T01:01:59.087+0600][3.159s][info][gc,heap     ] GC(7) Survivor regions: 14->9(15)
[2026-04-03T01:01:59.087+0600][3.159s][info][gc,heap     ] GC(7) Old regions: 20->33
[2026-04-03T01:01:59.087+0600][3.159s][info][gc,heap     ] GC(7) Humongous regions: 0->0
[2026-04-03T01:01:59.087+0600][3.159s][info][gc,metaspace] GC(7) Metaspace: 8788K(9024K)->8788K(9024K) NonClass: 7945K(8064K)->7945K(8064K) Class: 843K(960K)->843K(960K)
[2026-04-03T01:01:59.088+0600][3.159s][info][gc          ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 273M->80M(394M) 21.223ms
[2026-04-03T01:01:59.088+0600][3.159s][info][gc,cpu      ] GC(7) User=0.17s Sys=0.03s Real=0.02s
