[2026-04-03T06:30:03.655+0600][3.484s][info][gc          ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 257M->80M(366M) 22.891ms
[2026-04-03T06:30:03.655+0600][3.484s][info][gc,cpu      ] GC(7) User=0.15s Sys=0.02s Real=0.03s
[2026-04-03T06:30:03.922+0600][3.750s][info][gc,start    ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T06:30:03.922+0600][3.751s][info][gc,task     ] GC(8) Using 8 workers of 10 for evacuation
[2026-04-03T06:30:03.936+0600][3.764s][info][gc,phases   ] GC(8)   Pre Evacuate Collection Set: 0.17ms
[2026-04-03T06:30:03.936+0600][3.764s][info][gc,phases   ] GC(8)   Merge Heap Roots: 0.25ms
[2026-04-03T06:30:03.936+0600][3.764s][info][gc,phases   ] GC(8)   Evacuate Collection Set: 12.56ms
[2026-04-03T06:30:03.936+0600][3.764s][info][gc,phases   ] GC(8)   Post Evacuate Collection Set: 0.74ms
[2026-04-03T06:30:03.936+0600][3.765s][info][gc,phases   ] GC(8)   Other: 0.11ms
[2026-04-03T06:30:03.936+0600][3.765s][info][gc,heap     ] GC(8) Eden regions: 100->0(95)
[2026-04-03T06:30:03.936+0600][3.765s][info][gc,heap     ] GC(8) Survivor regions: 9->14(14)
[2026-04-03T06:30:03.936+0600][3.765s][info][gc,heap     ] GC(8) Old regions: 33->33
[2026-04-03T06:30:03.936+0600][3.765s][info][gc,heap     ] GC(8) Humongous regions: 0->0
[2026-04-03T06:30:03.936+0600][3.765s][info][gc,metaspace] GC(8) Metaspace: 8797K(9024K)->8797K(9024K) NonClass: 7954K(8064K)->7954K(8064K) Class: 843K(960K)->843K(960K)
[2026-04-03T06:30:03.936+0600][3.765s][info][gc          ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 280M->91M(366M) 14.190ms
[2026-04-03T06:30:03.936+0600][3.765s][info][gc,cpu      ] GC(8) User=0.11s Sys=0.00s Real=0.02s
[2026-04-03T06:30:04.165+0600][3.993s][info][gc,start    ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T06:30:04.165+0600][3.993s][info][gc,task     ] GC(9) Using 8 workers of 10 for evacuation
[2026-04-03T06:30:04.187+0600][4.015s][info][gc,phases   ] GC(9)   Pre Evacuate Collection Set: 0.18ms
[2026-04-03T06:30:04.187+0600][4.015s][info][gc,phases   ] GC(9)   Merge Heap Roots: 0.07ms
[2026-04-03T06:30:04.187+0600][4.015s][info][gc,phases   ] GC(9)   Evacuate Collection Set: 19.41ms
[2026-04-03T06:30:04.187+0600][4.015s][info][gc,phases   ] GC(9)   Post Evacuate Collection Set: 2.24ms
[2026-04-03T06:30:04.187+0600][4.015s][info][gc,phases   ] GC(9)   Other: 0.08ms
[2026-04-03T06:30:04.187+0600][4.015s][info][gc,heap     ] GC(9) Eden regions: 95->0(177)
[2026-04-03T06:30:04.187+0600][4.015s][info][gc,heap     ] GC(9) Survivor regions: 14->14(14)
[2026-04-03T06:30:04.187+0600][4.015s][info][gc,heap     ] GC(9) Old regions: 33->40
[2026-04-03T06:30:04.187+0600][4.015s][info][gc,heap     ] GC(9) Humongous regions: 0->0
